Branch,Refined Hub
W05-JAJPUR ROAD BRANCH,W53-BHUBANESWAR AIR APEX
U83-AURAIYA NODAL POINT,U43-LUCKNOW APEX
O04-TRICHUR BRANCH,O06-COCHIN APEX
P13-SATARA SUPER FRANCHISEE,P01-PUNE APEX
P32-KARAD SORTING OFFICE,P01-PUNE APEX
U133-AZAMGARH BRANCH,U04-VARANASI APEX
O17-CHANGANACHERRY NODAL POINT,O06-COCHIN APEX
T34-HAZARIBAGH SUB BRANCH,T02-RANCHI APEX
E16-KRISHNAGIRI BRANCH,B10-BANGALORE YELAHANKA APEX
K89-HALDIA BRANCH,K16-KOLKATA RAJARHAT APEX
Q07-ALWAR BRANCH,N05-DELHI SAMALKHA APEX
Q44-NEEMRANA BRANCH,N05-DELHI SAMALKHA APEX
Q16-SIKAR BRANCH,Q05-JAIPUR APEX
A05-VAPI BRANCH,A04-SURAT APEX
R07-BILASPUR BRANCH,T02-RANCHI APEX
U110-ORAI NODAL POINT,U43-LUCKNOW APEX
J17-PHAGWARA BRANCH,J10-AMBALA APEX
J20-BILASPUR SUPER FRANCHISEE,J29-PANCHKULA APEX
P25-BARAMATI MASTER FRANCHISEE,P01-PUNE APEX
K54-FULIA BRANCH,K16-KOLKATA RAJARHAT APEX
O11-THIRUVALLA BRANCH,O06-COCHIN APEX
K45-BURDWAN BRANCH,K16-KOLKATA RAJARHAT APEX
U16-ALIGARH BRANCH,U11-GHAZIABAD APEX
K40-KHARAGPUR BRANCH,K16-KOLKATA RAJARHAT APEX
K114-KALINGPONG HELIX SORTING OFFICE,K66-SILIGURI-MATIGARA APEX
M57-BOISAR BRANCH,M10-MUMBAI SAKINAKA APEX
X06-SHILLONG SORTING OFFICE,X01-DHARAPUR APEX
K84-DARJEELING BRANCH,K66-SILIGURI-MATIGARA APEX
R13-YAVATMAL SUPER FRANCHISEE,R01-NAGPUR AIR APEX
V10-ONGOLE BRANCH,V06-VIJAYAWADA APEX
U26-AYODHYA BRANCH,U43-LUCKNOW APEX
K82-RANGPO SUB BRANCH,K66-SILIGURI-MATIGARA APEX
W14-BHADRAK SORTING OFFICE,W53-BHUBANESWAR AIR APEX
T42-BEGUSARAI SORTING OFFICE,T01-PATNA APEX
Q09-AJMER BRANCH,Q05-JAIPUR APEX
V12-SRIKAKULAM BRANCH,V02-VISHAKAPATNAM APEX
W44-PARADEEP NODAL POINT,W53-BHUBANESWAR AIR APEX
U02-PRAYAGRAJ BRANCH,U04-VARANASI APEX
H91-KHAMMAM BRANCH,V06-VIJAYAWADA APEX
I11-CHHINDWARA SORTING OFFICE,R01-NAGPUR AIR APEX
T03-JAMSHEDPUR BRANCH,T02-RANCHI APEX
U78-SULTANPUR BRANCH,U43-LUCKNOW APEX
U95-HARDOI NODAL POINT,U43-LUCKNOW APEX
A45-SURENDRANAGAR BRANCH,A01-AHMEDABAD APEX
U45-GONDA BRANCH,U43-LUCKNOW APEX
T85-SAMASTIPUR SORTING OFFICE,T01-PATNA APEX
J02-JALANDHAR BRANCH,J10-AMBALA APEX
U140-LAKHIMPUR MINI BRANCH,U43-LUCKNOW APEX
B02-MYSORE BRANCH,B10-BANGALORE YELAHANKA APEX
X28-NORTH LAKHIMPUR BRANCH,X21-DIBRUGARH APEX
U07-GWALIOR BRANCH,U43-LUCKNOW APEX
H92-SURYAPET BRANCH,H13-HYDERABAD SHAMSHABAD APEX
P74-YEOLA SUPER FRANCHISEE,M10-MUMBAI SAKINAKA APEX
J14-SHIMLA BRANCH,J29-PANCHKULA APEX
V57-BHIMAVARAM SUB BRANCH,V06-VIJAYAWADA APEX
P19-NASIK BRANCH,M10-MUMBAI SAKINAKA APEX
K03-KRISHNANAGAR BRANCH,K16-KOLKATA RAJARHAT APEX
I07-RATLAM SORTING OFFICE,I01-INDORE APEX
I39-BETUL BRANCH,R01-NAGPUR AIR APEX
P08-AHMEDNAGAR SUPER FRANCHISEE,P01-PUNE APEX
V05-RAJAHMUNDRY BRANCH,V06-VIJAYAWADA APEX
E06-TRICHY BRANCH,E04-SALEM APEX
T09-BOKARO BRANCH,T02-RANCHI APEX
V21-MADANAPALLI SORTING OFFICE,B10-BANGALORE YELAHANKA APEX
B62-BIDAR SORTING OFFICE,H13-HYDERABAD SHAMSHABAD APEX
W09-ANGUL BRANCH,W53-BHUBANESWAR AIR APEX
R02-CHANDRAPUR SUPER FRANCHISE,R01-NAGPUR AIR APEX
J48-MOGA BRANCH,J29-PANCHKULA APEX
V15-KAKINADA SUB BRANCH,V02-VISHAKAPATNAM APEX
O03-PALGHAT BRANCH,O06-COCHIN APEX
E07-DINDIGUL BRANCH,E01-COIMBATORE APEX
U77-SHAHJAHANPUR SUPER FRANCHISEE,U43-LUCKNOW APEX
W04-BERHAMPUR BRANCH,W53-BHUBANESWAR AIR APEX
W54-KHALLIKOTE BRANCH,W53-BHUBANESWAR AIR APEX
C08-KATPADI BRANCH,C42-GUINDY APEX
